TRIP
DATE 1970-01-01

DECLINATION	0.00
DATA
*alias station - ..

4	14	10.851	178.49	35.17		;  {from: 10.859 178.49 35.17, 10.848 178.46 35.23, 10.846 178.52 35.10}
14	-	3.317	339.10	-43.48	
14	-	3.279	0.82	-37.64	
14	-	2.280	16.11	-67.05	
14	-	4.131	9.33	-36.05	
14	-	4.412	28.85	-32.49	
14	-	2.592	83.64	-34.97	
14	-	1.967	86.79	-66.23	
14	-	1.712	204.82	-2.17	
14	-	2.188	163.22	7.60	
14	-	4.190	85.50	-2.93	
14	-	5.532	328.13	-33.80	
14	-	3.281	275.91	-11.68	
14	-	0.981	226.98	21.17	
14	-	6.015	225.15	21.26	
14	-	5.399	188.94	13.61	
14	15	4.786	175.66	18.22		;  {from: 4.805 175.74 18.28, 4.778 175.63 18.19, 4.774 175.62 18.18}
15	-	1.268	223.57	-80.29	
15	-	1.486	270.90	0.78	
15	-	2.383	129.14	83.28	
15	-	3.741	209.14	1.04	
15	-	4.540	200.15	-3.78	
15	-	4.943	174.01	-20.14	
15	-	5.038	178.17	-32.66	
15	-	6.559	144.29	-4.20	
15	-	8.169	119.34	0.44	
15	-	8.024	87.87	0.28	
15	-	12.514	70.80	-4.36	
15	-	13.011	49.14	1.16	
15	-	10.998	39.07	-3.24	
15	-	6.270	32.14	-8.85	
15	16	4.954	175.52	-18.10		;  {from: 4.949 175.54 -18.19, 4.955 175.48 -18.00, 4.958 175.55 -18.11}
15	17.1	13.008	61.12	-14.90	
17.1	18.1	5.535	39.09	-16.06	
18.1	19.1	2.758	239.44	9.91	
19.1	20.1	1.336	351.32	-19.83	
20.1	21.1	5.358	350.52	-70.83	

PLAN
STATIONS
-10.062573	-15.418921	5
-6.0861464	-0.68348867	3
-12.102213	-27.395216	7
-4.9095497	-10.835645	12
-10.588935	-19.990501	6
-9.833323	-34.14135	9
-14.871702	-29.478441	10
-3.1468997	-13.953195	13
-11.226144	11.993122	15
0.0	-0.0	1
0.31602	0.19702137	21.1
-10.819682	-29.273706	8
-4.592376	-0.44504872	2
-17.823961	-30.797033	11
0.79547	3.1747959	19.1
-10.858578	16.68766	16
3.134941	1.7934408	18.1
-11.803529	-1.4068453	4
-11.569974	7.4602947	14
0.6058025	1.9324106	20.1
-0.2188921	5.921804	17.1
SHOTS
-11.803529	-1.4068453	-14.363978	-4.028407
-9.833323	-34.14135	-9.1791935	-33.977566
-10.062573	-15.418921	-7.553155	-19.556004
-10.588935	-19.990501	-10.09585	-24.268251
-3.1468997	-13.953195	-3.8816993	-13.423797
-17.823961	-30.797033	-22.824177	-32.396935
-6.0861464	-0.68348867	-6.1367717	-0.7585829
-11.569974	7.4602947	-11.226144	11.993122
-12.102213	-27.395216	-10.8735695	-34.504383
-0.2188921	5.921804	3.134941	1.7934408
-17.823961	-30.797033	-17.790375	-31.877947
-3.1468997	-13.953195	-3.2447166	-14.05637
0.0	-0.0	0.78482574	-3.1562996
3.134941	1.7934408	0.79547	3.1747959
-11.226144	11.993122	-7.930278	6.747303
-10.062573	-15.418921	-10.588935	-19.990501
-10.588935	-19.990501	-11.045264	-26.473227
-3.1468997	-13.953195	-0.732918	-15.0847435
-11.569974	7.4602947	-13.996898	3.556094
-11.569974	7.4602947	-7.3983364	7.1320605
-17.823961	-30.797033	-22.318928	-28.717297
-11.226144	11.993122	-11.373566	12.148112
-11.569974	7.4602947	-9.774229	4.2006016
-10.062573	-15.418921	-13.215664	-16.40353
-10.062573	-15.418921	-10.33934	-15.553445
-12.102213	-27.395216	-11.899967	-27.551775
-11.569974	7.4602947	-9.458995	7.2251673
-17.823961	-30.797033	-23.29609	-31.00226
-12.102213	-27.395216	-10.819682	-29.273706
-12.102213	-27.395216	-12.314236	-27.651505
-12.102213	-27.395216	-10.001615	-30.109884
0.0	-0.0	-1.8863392	-3.4554322
-6.0861464	-0.68348867	-11.803529	-1.4068453
-11.803529	-1.4068453	-11.764436	-4.5675993
-17.823961	-30.797033	-17.135859	-32.77193
-17.823961	-30.797033	-20.579803	-32.51305
-11.226144	11.993122	-10.742066	16.60846
-11.803529	-1.4068453	-12.24586	-11.473894
0.0	-0.0	-0.016445698	-0.0242037
-6.0861464	-0.68348867	-5.3086452	-1.7394252
-4.9095497	-10.835645	-6.1554074	-10.40811
-12.102213	-27.395216	-11.719494	-30.93615
-10.588935	-19.990501	-16.674341	-23.34824
-4.9095497	-10.835645	-5.0814013	-10.839616
-10.588935	-19.990501	-16.743294	-20.747772
0.0	-0.0	1.5278898	1.0901476
-4.592376	-0.44504872	-6.0861464	-0.68348867
-9.833323	-34.14135	-10.4262295	-33.73965
-14.871702	-29.478441	-11.88628	-31.35933
-3.1468997	-13.953195	-0.5893991	-14.947627
-11.226144	11.993122	-13.047575	15.260052
-11.226144	11.993122	-0.2188921	5.921804
-11.226144	11.993122	0.5577431	7.8898597
-10.588935	-19.990501	-12.714784	-18.206972
-11.226144	11.993122	-1.3883638	3.4822893
0.6058025	1.9324106	0.31602	0.19702137
-10.062573	-15.418921	-10.061907	-15.375498
-4.592376	-0.44504872	-4.9327617	-0.8272554
-11.226144	11.993122	-3.2077618	11.695478
-12.102213	-27.395216	-10.782772	-27.197296
-11.803529	-1.4068453	-8.322834	5.571295
-4.9095497	-10.835645	-3.965416	-4.7214355
-10.588935	-19.990501	-14.257767	-23.245296
-11.226144	11.993122	-12.7118225	11.969761
-11.226144	11.993122	-11.009937	12.1691065
-11.803529	-1.4068453	-10.268498	-0.86506176
-14.871702	-29.478441	-21.241123	-29.112253
-11.226144	11.993122	-12.786589	16.24598
-11.803529	-1.4068453	-10.57537	-1.3015571
-11.569974	7.4602947	-12.23885	8.084402
-11.803529	-1.4068453	-8.112691	-3.6378486
0.0	-0.0	-4.592376	-0.44504872
-14.871702	-29.478441	-17.744919	-28.146715
