TRIP
DATE 2026-08-09
DECLINATION 0.0
DATA
13.2	13.3	190.65	13.57	2.896	>
13.3		236.87	2.55	0.638	>
13.3		149.19	36.64	3.213	>
13.3		149.32	36.67	3.212	>
13.3		149.36	36.68	3.239	>
13.3		1.40	-29.81	3.199	>
13.3		1.39	-29.69	3.187	>
13.3		1.52	-29.71	3.184	>
13.3	13.4	149.29	36.66	3.221	>
13.4		324.72	-1.24	2.983	>
13.4		280.80	-5.52	1.575	>
13.4		59.87	37.99	2.959	>
13.4		59.91	38.01	2.957	>
13.4		59.88	37.94	2.944	>
13.4	13.5	59.89	37.98	2.953	>
13.5		12.24	41.35	1.821	>
13.5		191.75	80.28	1.470	>
13.5		83.95	58.11	2.875	>
13.5	13.6	326.06	81.26	8.797	>
13.3	13.3.1	1.43	-29.73	3.190	>
13.3.1		226.63	-2.28	0.375	>
13.3.1		283.83	-12.68	0.551	>
13.3.1		276.02	-75.93	3.079	>
13.3.1		278.83	-42.11	1.684	>
13.3.1		278.86	-42.11	1.666	>
13.3.1		278.75	-42.05	1.670	>
13.3.1	13.3.2	278.81	-42.09	1.673	>
13.3.2		40.25	-16.31	0.470	>
13.3.2		354.81	-9.79	1.550	>
13.3.2		323.21	-10.76	0.990	>
13.3.2		319.77	-13.66	1.043	>
13.3.2		318.92	-13.72	1.757	>
13.3.2		318.75	-13.86	1.760	>
13.3.2		318.81	-13.73	1.756	>
13.3.2	13.3.3	318.83	-13.77	1.758	>
13.3.3		199.97	7.63	0.480	>
13.3.3		250.65	68.57	3.129	>
13.3.3		247.49	-74.39	1.060	>
13.3.3		274.10	33.65	2.409	>
13.3.3		273.81	33.57	2.418	>
13.3.3		273.85	33.62	2.405	>
13.3.3	13.3.4	273.92	33.61	2.411	>
13.3.4		52.39	-1.74	0.799	>
13.3.4		65.08	80.41	2.439	>
13.3.4		309.19	31.30	2.527	>
13.3.4		309.31	31.41	2.511	>
13.3.4		309.34	31.45	2.519	>
13.3.4	13.3.5	309.28	31.39	2.519	>
13.3.5		348.88	-83.53	7.142	>
13.3.5		234.00	85.94	2.740	>
