TRIP
DATE 2005-07-01 
DECLINATION     0.00
DATA
5.330	-3.526
5.276	-3.580
5.228	-3.610
5.216	-3.628
POLYLINE BLACK
5.372	-3.496
5.306	-3.550
5.264	-3.598
5.252	-3.598
5.204	-3.640
POLYLINE BLACK
5.642	-2.800
5.654	-2.794
5.660	-2.836
POLYLINE BLACK
5.594	-2.806
5.606	-2.806
POLYLINE BLACK
5.576	-2.806
POLYLINE BLACK
5.642	-2.776
5.594	-2.818
5.582	-2.818
POLYLINE BLACK
5.105	-3.415
5.195	-3.175
5.270	-3.070
5.300	-3.070
5.630	-2.785
5.645	-2.890
5.645	-2.920
POLYLINE BLACK
4.700	-3.760
4.715	-3.730
4.775	-3.700
4.805	-3.700
4.835	-3.670
4.940	-3.625
5.105	-3.490
5.135	-3.415
POLYLINE BLACK
5.315	-3.490
5.195	-3.655
5.105	-3.715
4.985	-3.865
4.955	-3.880
4.880	-4.000
4.835	-4.060
4.835	-4.090
4.775	-4.150
4.775	-4.195
4.730	-4.285
4.730	-4.375
POLYLINE BLACK
4.850	-4.735
4.850	-4.555
4.745	-4.405
POLYLINE BLACK
4.090	-4.230
4.310	-4.190
4.490	-3.950
4.690	-3.790
4.750	-3.730
POLYLINE BLACK
1.470	-2.660
1.860	-2.720
1.980	-2.780
1.980	-2.870
1.860	-2.990
1.800	-3.140
1.620	-3.140
1.440	-2.960
1.320	-2.780
1.500	-2.600
POLYLINE BLACK
3.810	-4.880
3.930	-4.970
3.870	-5.060
3.780	-5.090
3.720	-5.210
3.630	-5.060
3.570	-4.820
3.630	-4.700
POLYLINE BLACK
3.630	-4.730
POLYLINE BLACK
4.620	-5.210
4.830	-5.390
4.680	-5.570
4.620	-5.570
4.470	-5.390
4.620	-5.210
POLYLINE BLACK
4.530	-5.690
4.590	-5.780
4.980	-5.960
4.980	-6.020
4.890	-6.110
4.710	-6.380
4.590	-6.350
4.380	-6.140
4.350	-6.080
4.590	-5.630
4.650	-5.570
POLYLINE BLACK
4.440	-6.470
4.560	-6.530
4.950	-6.620
5.130	-6.740
5.100	-6.860
4.890	-7.310
4.830	-7.370
4.770	-7.370
4.440	-6.950
4.170	-6.680
4.140	-6.620
4.530	-6.230
POLYLINE BLACK
2.550	-3.830
2.700	-3.770
2.820	-3.650
2.910	-3.620
POLYLINE BLACK
2.610	-3.980
POLYLINE BLACK
2.940	-3.620
3.450	-3.890
3.180	-4.190
3.150	-4.280
2.760	-4.100
POLYLINE BLACK
2.700	-3.500
2.820	-3.380
3.150	-3.620
3.330	-3.710
3.480	-3.830
POLYLINE BLACK
2.550	-3.800
POLYLINE BLACK
3.300	-3.560
POLYLINE BLACK
4.200	-4.730
4.260	-4.730
4.500	-4.910
4.650	-4.910
4.500	-5.150
4.350	-5.360
4.230	-5.390
4.230	-5.330
3.990	-5.000
3.930	-4.940
4.170	-4.640
4.230	-4.610
POLYLINE BLACK
4.110	-5.360
4.380	-5.570
4.410	-5.690
4.200	-6.020
4.200	-6.080
4.140	-6.080
3.840	-5.780
3.810	-5.660
3.870	-5.510
4.080	-5.240
POLYLINE BLACK
3.270	-4.550
3.360	-4.700
3.450	-4.940
3.450	-5.000
POLYLINE BLACK
4.770	-7.910
4.860	-8.030
5.040	-8.030
5.250	-7.580
5.250	-7.370
5.190	-6.950
5.130	-6.410
5.070	-6.170
5.070	-6.080
5.040	-5.930
5.040	-5.840
4.920	-5.390
4.920	-5.270
4.890	-5.150
4.860	-4.880
4.890	-4.730
POLYLINE BLACK
3.420	-4.880
3.420	-4.970
3.750	-5.720
3.780	-5.840
4.020	-6.380
4.050	-6.500
4.320	-6.950
4.320	-7.010
4.950	-8.000
4.950	-8.090
POLYLINE BLACK
1.760	-3.670
1.940	-3.810
2.040	-3.910
2.120	-3.930
2.160	-3.970
2.200	-3.970
2.240	-4.010
2.320	-4.030
2.500	-4.070
2.540	-4.070
2.620	-4.130
2.660	-4.130
2.820	-4.250
2.900	-4.270
2.980	-4.350
3.040	-4.350
3.160	-4.450
3.240	-4.490
3.300	-4.590
3.380	-4.670
POLYLINE BLACK
2.400	-4.050
POLYLINE BLACK
2.580	-3.020
2.800	-3.260
2.860	-3.360
3.220	-3.700
3.400	-3.840
3.540	-3.920
3.600	-3.980
3.720	-4.060
3.960	-4.240
4.040	-4.260
4.180	-4.380
4.220	-4.380
POLYLINE BLACK
2.730	1.210
POLYLINE BLACK
2.930	1.170
POLYLINE BLACK
2.810	1.030
2.850	1.050
2.870	0.970
2.930	0.870
POLYLINE BLACK
2.750	0.970
2.790	0.990
2.850	0.830
2.910	0.730
POLYLINE BLACK
2.830	0.670
2.750	0.830
POLYLINE BLACK
2.510	1.150
2.570	1.010
2.670	0.870
2.730	0.770
2.790	0.690
POLYLINE BLACK
2.010	-0.030
2.070	-0.050
2.190	0.070
2.230	0.190
2.290	0.030
2.370	-0.030
2.430	0.050
2.450	0.170
2.450	0.210
2.410	0.250
2.390	0.330
2.490	0.190
2.530	0.170
2.550	0.290
2.510	0.450
2.550	0.470
2.550	0.410
2.670	0.310
2.710	0.310
2.730	0.470
2.730	0.590
2.670	0.730
2.630	0.730
2.550	0.570
2.550	0.490
2.610	0.410
POLYLINE BLACK
1.870	0.110
1.970	0.110
2.130	-0.010
2.250	-0.170
2.310	-0.230
POLYLINE BLACK
1.810	-0.070
1.770	-0.210
1.870	-0.210
2.010	-0.110
2.050	-0.110
2.130	-0.190
2.150	-0.310
2.150	-0.470
2.090	-0.530
2.030	-0.510
1.990	-0.410
POLYLINE BLACK
1.230	0.430
1.310	0.370
1.410	0.310
