[491] W Czerwonych Kamieniach Hohle in Roten Steinen J1
d5           d6               7.32   354.00    -6.00     0.00     0.00     0.00     0.00
d6           d7               8.27   301.00   -37.00     0.00     0.00     0.00     0.00
d7           d8               7.97   162.00   -14.00     0.00     0.00     0.00     0.00
d8           TS.16           11.81    60.00   -21.00     0.00     0.00     0.00     0.00

[491] W Czerwonych Kamieniach Hohle in Roten Steinen J1
SURVEY NAME: DO DNA
SURVEY DATE: 8 20 2007  COMMENT:   Rafal Mateja
SURVEY TEAM:

DECLINATION:     2.18  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

6_32         07.01           19.16   100.00   -55.00     0.00     0.00     0.00     0.00
07.01        07.02            6.40   180.00   -50.00     0.00     0.00     0.00     0.00
07.02        07.03           18.34    77.00   -36.00     0.00     0.00     0.00     0.00
07.03        07.04           35.63   134.00   -61.00     0.00     0.00     0.00     0.00
07.04        07.05           25.36   210.00   -80.00     0.00     0.00     0.00     0.00
07.05        07.06           11.32    92.00    -1.00     0.00     0.00     0.00     0.00
07.06        07.07           30.64   115.00   -75.00     0.00     0.00     0.00     0.00
07.07        07.08           15.06    68.00   -10.00     0.00     0.00     0.00     0.00
07.08        07.09           33.60    21.00   -54.00     0.00     0.00     0.00     0.00
07.09        07.10           47.74    91.00   -62.00     0.00     0.00     0.00     0.00
07.10        07.11           13.19    40.00   -10.00     0.00     0.00     0.00     0.00
07.11        07.12           21.98    40.00   -18.00     0.00     0.00     0.00     0.00
07.12        07.13           43.34    81.00   -49.00     0.00     0.00     0.00     0.00
07.13        07.14            8.17    55.00   -52.00     0.00     0.00     0.00     0.00
07.14        07.15           11.52   123.00   -32.00     0.00     0.00     0.00     0.00
07.15        07.16           11.12   127.00   -33.00     0.00     0.00     0.00     0.00
07.16        07.17           14.50   150.00   -35.00     0.00     0.00     0.00     0.00
07.17        07.18           15.06   148.00    44.00     0.00     0.00     0.00     0.00
07.18        07.19           28.58   115.00    53.00     0.00     0.00     0.00     0.00
07.19        07.20           13.88   134.00    46.00     0.00     0.00     0.00     0.00
07.20        07.21           10.56   147.00     5.00     0.00     0.00     0.00     0.00
07.21        07.22           14.27   110.00   -70.00     0.00     0.00     0.00     0.00
07.22        07.23           12.50   150.00   -11.00     0.00     0.00     0.00     0.00
07.23        07.24           21.06   110.00   -81.00     0.00     0.00     0.00     0.00
07.24        07.25           22.87    85.00   -35.00     0.00     0.00     0.00     0.00
07.25        07.26           19.06    80.00   -68.00     0.00     0.00     0.00     0.00
07.26        07.27           20.31   295.00   -70.00     0.00     0.00     0.00     0.00
07.27        07.28           33.96   325.00   -58.00     0.00     0.00     0.00     0.00
07.28        07.29           35.17   230.00   -67.00     0.00     0.00     0.00     0.00
07.29        07.30           13.12     0.00   -90.00     0.00     0.00     0.00     0.00
07.29        07.31           10.07   252.00    15.00     0.00     0.00     0.00     0.00
07.31        07.32           13.35    20.00   -12.00     0.00     0.00     0.00     0.00
07.32        07.33           10.43    15.00     8.00     0.00     0.00     0.00     0.00
07.33        07.34           17.98    55.00    35.00     0.00     0.00     0.00     0.00
07.34        07.35           10.43   355.00    16.00     0.00     0.00     0.00     0.00
07.35        07.36           12.04   130.00    38.00     0.00     0.00     0.00     0.00
07.36        07.37           11.61   125.00    -1.00     0.00     0.00     0.00     0.00
07.37        07.38           15.94   115.00   -30.00     0.00     0.00     0.00     0.00
07.38        07.39           12.96     0.00   -90.00     0.00     0.00     0.00     0.00
07.39        07.40            8.86   302.00    -1.00     0.00     0.00     0.00     0.00
07.40        07.41           20.18    20.00   -11.00     0.00     0.00     0.00     0.00
07.41        07.42            8.37    30.00   -34.00     0.00     0.00     0.00     0.00
07.42        07.43           28.12   260.00   -80.00     0.00     0.00     0.00     0.00
07.43        07.44            6.43    15.00    -9.00     0.00     0.00     0.00     0.00
07.44        07.45           34.68    10.00   -64.00     0.00     0.00     0.00     0.00
07.45        07.46           17.62    22.00     7.00     0.00     0.00     0.00     0.00
07.46        07.47           51.64   100.00   -72.00     0.00     0.00     0.00     0.00

[491] W Czerwonych Kamieniach Hohle in Roten Steinen J1
SURVEY NAME: W DOL DO SYFONU
SURVEY DATE: 8 20 2007  COMMENT:   Rafal Mateja
SURVEY TEAM:

DECLINATION:     2.18  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

6_28         6_28.1           5.91   176.00   -24.00     0.00     0.00     0.00     0.00
6_28.1       6_28.2          13.55   201.00   -36.00     0.00     0.00     0.00     0.00
6_28.2       6_28.3          14.37   200.00   -78.00     0.00     0.00     0.00     0.00
6_28.3       6_28.4          31.56   180.00   -50.00     0.00     0.00     0.00     0.00
6_28.4       6_28.5          10.86   277.00   -28.00     0.00     0.00     0.00     0.00
6_28.5       6_28.6          10.47   226.00   -71.00     0.00     0.00     0.00     0.00
6_28.6       6_28.7           9.02   123.00   -27.00     0.00     0.00     0.00     0.00
6_28.7       6_28.8          13.16   198.00   -16.00     0.00     0.00     0.00     0.00
6_28.8       6_28.9          17.98   185.00   -46.00     0.00     0.00     0.00     0.00
6_28.9       6_28.10         35.17   103.00   -56.00     0.00     0.00     0.00     0.00
6_28.10      6_28.11          7.19   212.00   -39.00     0.00     0.00     0.00     0.00
6_28.11      6_28.12          7.35   158.00    -9.00     0.00     0.00     0.00     0.00
6_28.12      6_28.13         11.06   137.00   -23.00     0.00     0.00     0.00     0.00
6_28.13      6_28.14         11.15   142.00   -17.00     0.00     0.00     0.00     0.00
6_28.14      6_28.15         17.32   130.00     1.00     0.00     0.00     0.00     0.00
6_28.15      6_28.16         13.42   132.00   -13.00     0.00     0.00     0.00     0.00
6_28.16      6_28.17         10.33   127.00   -57.00     0.00     0.00     0.00     0.00
6_28.17      6_28.18         16.57   188.00   -47.00     0.00     0.00     0.00     0.00
6_28.18      6_28.19         24.64   132.00   -45.00     0.00     0.00     0.00     0.00
6_28.19      6_28.20          5.41    98.00    12.00     0.00     0.00     0.00     0.00
6_28.20      6_28.r10        44.75   101.00   -78.00     0.00     0.00     0.00     0.00
6_28.r10     6_28.r9         14.80   124.00     0.00     0.00     0.00     0.00     0.00
6_28.r9      6_28.r8          6.33   127.00    38.00     0.00     0.00     0.00     0.00
6_28.r8      6_28.r7         25.07    27.00   -27.00     0.00     0.00     0.00     0.00
6_28.r7      6_28.r6         10.60   317.00    -8.00     0.00     0.00     0.00     0.00
6_28.r6      6_28.r5          6.92   322.00    48.00     0.00     0.00     0.00     0.00
6_28.r5      6_28.r4         11.35   318.00    47.00     0.00     0.00     0.00     0.00
6_28.r4      6_28.r3          4.86   357.00    14.00     0.00     0.00     0.00     0.00
6_28.r3      6_28.r2         21.98   129.00   -38.00     0.00     0.00     0.00     0.00
6_28.r2      6_28.r1          9.48    22.00   -69.00     0.00     0.00     0.00     0.00

[491] W Czerwonych Kamieniach Hohle in Roten Steinen J1
SURVEY NAME: 2006
SURVEY DATE: 8 10 2006  COMMENT:   Dariusz Bartoszewski, Marek Wierzbowski
SURVEY TEAM:

DECLINATION:     2.07  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

6_2          cg109           65.45   322.00    74.00     0.00     0.00     0.00     0.00
6_3          6_2             59.42    33.00    67.00     0.00     0.00     0.00     0.00
6_4          6_3             19.72    31.00    21.00     0.00     0.00     0.00     0.00
6_5          6_4             64.96   338.00    62.00     0.00     0.00     0.00     0.00
6_6          6_5             28.51    44.00    64.00     0.00     0.00     0.00     0.00
6_7          6_6             41.27   297.00    69.00     0.00     0.00     0.00     0.00
6_8          6_7              7.09   306.00    31.00     0.00     0.00     0.00     0.00
6_9          6_8             55.91     0.00    90.00     0.00     0.00     0.00     0.00
6_10         6_9             54.43   296.00    78.00     0.00     0.00     0.00     0.00
6_11         6_10            48.98   211.00    74.00     0.00     0.00     0.00     0.00
6_12         6_11            11.84   333.00    17.00     0.00     0.00     0.00     0.00
6_13         6_12            42.36   228.00    70.00     0.00     0.00     0.00     0.00
6_14         6_13            40.26   213.00    67.00     0.00     0.00     0.00     0.00
6_15         6_14            39.83   348.00    56.00     0.00     0.00     0.00     0.00
6_16         6_15            44.32   282.00    78.00     0.00     0.00     0.00     0.00
6_17         6_16            13.65   333.00    13.00     0.00     0.00     0.00     0.00
6_18         6_17            20.54   328.00    41.00     0.00     0.00     0.00     0.00
6_19         6_18            43.11   295.00    42.00     0.00     0.00     0.00     0.00
6_20         6_19            40.68   334.00    63.00     0.00     0.00     0.00     0.00
6_21         6_20             6.69   227.00    39.00     0.00     0.00     0.00     0.00
6_22         6_21            34.38   268.00    66.00     0.00     0.00     0.00     0.00
6_23         6_22             9.97   264.00    23.00     0.00     0.00     0.00     0.00
6_24         6_23             6.04   302.00    55.00     0.00     0.00     0.00     0.00
6_25         6_24            21.62   226.00    79.00     0.00     0.00     0.00     0.00
6_26         6_25            11.61   282.00     2.00     0.00     0.00     0.00     0.00
6_27         6_26            14.67   265.00    52.00     0.00     0.00     0.00     0.00
6_28         6_27            11.58   273.00    48.00     0.00     0.00     0.00     0.00
6_29         6_28            13.58   201.00    36.00     0.00     0.00     0.00     0.00
6_30         6_29            20.57   217.00    58.00     0.00     0.00     0.00     0.00
6_31         6_30            34.12   131.00    81.00     0.00     0.00     0.00     0.00
6_32         6_31            17.81   314.00   -40.00     0.00     0.00     0.00     0.00

[491] W Czerwonych Kamieniach Hohle in Roten Steinen J1
SURVEY NAME: CIπG ZA WODπ
SURVEY DATE: 8 19 2008  COMMENT:   Marek Wierzbowski, Tomasz Kugler, Maja Juniewicz, Agata Saloni
SURVEY TEAM:

DECLINATION:     2.29  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

cg87         czw1            12.11   192.00   -61.00     0.00     0.00     0.00     0.00
czw1         czw2            38.29   324.00     1.00     0.00     0.00     0.00     0.00
czw2         czw3             4.30    31.00    -9.00     0.00     0.00     0.00     0.00
czw3         czw4            19.06   326.00   -31.00     0.00     0.00     0.00     0.00
czw4         czw5            29.63   320.00   -47.00     0.00     0.00     0.00     0.00
czw5         czw6             4.89   318.00   -69.00     0.00     0.00     0.00     0.00
czw6         czw7            16.54   171.00    -4.00     0.00     0.00     0.00     0.00
czw7         czw8            34.58    94.00   -61.00     0.00     0.00     0.00     0.00
czw8         czw9            41.60   162.00   -19.00     0.00     0.00     0.00     0.00
czw9         czw10            2.69   202.00    -6.00     0.00     0.00     0.00     0.00
czw10        czw11           19.19   153.00   -55.00     0.00     0.00     0.00     0.00
czw11        czw12           12.99   179.00     3.00     0.00     0.00     0.00     0.00

[491] W Czerwonych Kamieniach Hohle in Roten Steinen J1
SURVEY NAME: CIπG G≥ÛWNY SUCHY
SURVEY DATE: 8 16 2005  COMMENT:   dane wykomentowane do grad
SURVEY TEAM:

DECLINATION:     1.96  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

cg94         cg95            28.08   101.00   -80.10     0.00     0.00     0.00     0.00
cg95         cg96             7.35   311.00     9.90     0.00     0.00     0.00     0.00  ;11.00
cg96         cg97            30.35   164.00   -76.50     0.00     0.00     0.00     0.00  ;-85.00
cg97         cg98            52.72    44.00   -77.40     0.00     0.00     0.00     0.00  ;-86.00
cg98         cg99            10.99   120.00    -2.70     0.00     0.00     0.00     0.00  ;-3.00
cg99         cg100           11.48    91.00   -39.60     0.00     0.00     0.00     0.00  ;-44.00
cg100        cg101            8.89   178.00    -8.10     0.00     0.00     0.00     0.00  ;-9.00
cg101        cg102            7.94   199.00   -55.80     0.00     0.00     0.00     0.00  ;-62.00
cg102        cg103           35.27     0.00   -90.00     0.00     0.00     0.00     0.00  ;-100.00
cg103        cg104            5.91   180.00     1.80     0.00     0.00     0.00     0.00  ;2.00
cg104        cg105           18.64    75.00   -28.80     0.00     0.00     0.00     0.00  ;-32.00
cg105        cg106           54.92   131.00   -81.00     0.00     0.00     0.00     0.00  ;-90.00
cg106        cg107           12.66   212.00   -18.90     0.00     0.00     0.00     0.00  ;-21.00
cg107        cg108            8.86   111.00   -18.90     0.00     0.00     0.00     0.00  ;-21.00
cg108        cg109           17.85   164.00   -64.80     0.00     0.00     0.00     0.00  ;-72.00

[491] W Czerwonych Kamieniach Hohle in Roten Steinen J1
SURVEY NAME: CIπG G≥ÛWNY MEANDER GIMNASTYCZNY
SURVEY DATE: 8 16 2005  COMMENT:   dane wykomentowane do grad
SURVEY TEAM:

DECLINATION:     1.96  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

cg40         cg41            19.42    38.00    -7.20     0.00     0.00     0.00     0.00
cg41         cg42            13.85    40.00   -17.10     0.00     0.00     0.00     0.00  ;-19.00
cg42         cg43             3.38   357.00    -8.10     0.00     0.00     0.00     0.00  ;-9.00
cg43         cg44            13.58   193.00   -38.70     0.00     0.00     0.00     0.00  ;-43.00
cg44         cg45            13.39   286.00   -81.90     0.00     0.00     0.00     0.00  ;-91.00
cg45         cg46            22.47    83.00   -68.40     0.00     0.00     0.00     0.00  ;-76.00
cg46         cg47            23.36    59.00    -6.30     0.00     0.00     0.00     0.00  ;-7.00
cg47         cg48             5.18    58.00   -14.40     0.00     0.00     0.00     0.00  ;-16.00
cg48         cg49             9.42   271.00     5.40     0.00     0.00     0.00     0.00  ;6.00
cg49         cg50            10.24    44.00   -19.80     0.00     0.00     0.00     0.00  ;-22.00
cg50         cg51            19.03    21.00     0.00     0.00     0.00     0.00     0.00  ;0.00
cg51         cg52            10.24    27.00   -39.60     0.00     0.00     0.00     0.00  ;-44.00
cg52         cg53            10.17   303.00   -42.30     0.00     0.00     0.00     0.00  ;-47.00
cg53         cg54            17.52    73.00   -43.20     0.00     0.00     0.00     0.00  ;-48.00
cg54         cg55             6.59   100.00     1.80     0.00     0.00     0.00     0.00  ;2.00
cg55         cg56             9.78    58.00    -8.10     0.00     0.00     0.00     0.00  ;-9.00
cg56         cg57             9.74    41.00   -15.30     0.00     0.00     0.00     0.00  ;-17.00
cg57         cg58             8.33   120.00   -25.20     0.00     0.00     0.00     0.00  ;-28.00
cg58         cg59            15.98     0.00   -90.00     0.00     0.00     0.00     0.00  ;-100.00
cg59         cg60            14.47   143.00    -0.90     0.00     0.00     0.00     0.00  ;-1.00
cg60         cg61             9.84   189.00   -18.90     0.00     0.00     0.00     0.00  ;-21.00
cg61         cg62            13.48   167.00    -6.30     0.00     0.00     0.00     0.00  ;-7.00
cg62         cg63            17.26   159.00   -52.20     0.00     0.00     0.00     0.00  ;-58.00
cg63         cg64             7.41    86.00    23.40     0.00     0.00     0.00     0.00  ;26.00
cg64         cg65             6.40   158.00     4.50     0.00     0.00     0.00     0.00  ;5.00
cg65         cg66             4.56   132.00     0.90     0.00     0.00     0.00     0.00  ;1.00
cg66         cg67            35.43   152.00   -82.80     0.00     0.00     0.00     0.00  ;-92.00
cg67         cg68             8.43   159.00     1.80     0.00     0.00     0.00     0.00  ;2.00
cg68         cg69             7.58    65.00   -24.30     0.00     0.00     0.00     0.00  ;-27.00
cg69         cg70            16.73   122.00   -80.10     0.00     0.00     0.00     0.00  ;-89.00
cg70         cg71             7.61   112.00    17.10     0.00     0.00     0.00     0.00  ;19.00
cg71         cg72            13.52    39.00   -30.60     0.00     0.00     0.00     0.00  ;-34.00
cg72         cg73            10.89   117.00     6.30     0.00     0.00     0.00     0.00  ;7.00
cg73         cg74            12.53    21.00   -84.60     0.00     0.00     0.00     0.00  ;-94.00
cg74         cg75            20.60   134.00   -12.60     0.00     0.00     0.00     0.00  ;-14.00
cg75         cg76             6.50   111.00    -8.10     0.00     0.00     0.00     0.00  ;-9.00
cg76         cg77            12.11     8.00     0.00     0.00     0.00     0.00     0.00  ;0.00
cg77         cg78            12.01   149.00   -20.70     0.00     0.00     0.00     0.00  ;-23.00
cg78         cg79             7.94   220.00   -42.30     0.00     0.00     0.00     0.00  ;-47.00
cg79         cg80             6.23   183.00   -41.40     0.00     0.00     0.00     0.00  ;-46.00
cg80         cg81             8.46    74.00   -17.10     0.00     0.00     0.00     0.00  ;-19.00
cg81         cg82             5.71   109.00   -27.90     0.00     0.00     0.00     0.00  ;-31.00
cg82         cg83             7.05    43.00   -18.00     0.00     0.00     0.00     0.00  ;-20.00
cg83         cg84             6.14   132.00   -20.70     0.00     0.00     0.00     0.00  ;-23.00
cg84         cg85            14.37    58.00   -25.20     0.00     0.00     0.00     0.00  ;-28.00
cg85         cg86            44.62    78.00   -71.10     0.00     0.00     0.00     0.00  ;-79.00
cg86         cg87             9.61    19.00    24.30     0.00     0.00     0.00     0.00  ;27.00
cg87         cg88            16.86    77.00   -51.30     0.00     0.00     0.00     0.00  ;-57.00
cg88         cg89             7.41   341.00   -24.30     0.00     0.00     0.00     0.00  ;-27.00
cg89         cg90            35.43     0.00   -90.00     0.00     0.00     0.00     0.00  ;-100.00
cg90         cg91            18.54     4.00   -43.20     0.00     0.00     0.00     0.00  ;-48.00
cg91         cg92            13.22    13.00     9.00     0.00     0.00     0.00     0.00  ;10.00
cg92         cg93            10.07    44.00   -15.30     0.00     0.00     0.00     0.00  ;-17.00
cg93         cg94            18.37    71.00   -54.00     0.00     0.00     0.00     0.00  ;-60.00

[491] W Czerwonych Kamieniach Hohle in Roten Steinen J1
SURVEY NAME: CIπG G≥ÛWNY POMIARY 2
SURVEY DATE: 8 15 2005  COMMENT:   dane wykomentowane do grad
SURVEY TEAM:

DECLINATION:     1.96  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

cg24         cg25             3.28   160.00   -36.00     0.00     0.00     0.00     0.00
cg25         cg26            10.60   135.00    -9.00     0.00     0.00     0.00     0.00  ;-10.00
cg26         cg27            19.62   100.00   -21.60     0.00     0.00     0.00     0.00  ;-24.00
cg27         cg28            11.84   179.00   -18.00     0.00     0.00     0.00     0.00  ;-20.00
cg28         cg29            23.20   130.00    -4.50     0.00     0.00     0.00     0.00  ;-5.00
cg29         cg30            55.31   147.00   -68.40     0.00     0.00     0.00     0.00  ;-76.00
cg30         cg31            18.60   152.00   -13.50     0.00     0.00     0.00     0.00  ;-15.00
cg31         cg32            11.81     5.00     0.90     0.00     0.00     0.00     0.00  ;1.00
cg32         cg33            17.59    30.00    -4.50     0.00     0.00     0.00     0.00  ;-5.00
cg33         cg34            27.62   347.00    13.50     0.00     0.00     0.00     0.00  ;15.00
cg34         cg35            14.63   330.00   -40.50     0.00     0.00     0.00     0.00  ;-45.00
cg35         cg36             6.79   300.00   -27.00     0.00     0.00     0.00     0.00  ;-30.00
cg36         cg37            52.82   190.00   -72.90     0.00     0.00     0.00     0.00  ;-81.00
cg37         cg38            12.14   105.00   -22.50     0.00     0.00     0.00     0.00  ;-25.00
cg38         cg39            15.65   120.00   -67.50     0.00     0.00     0.00     0.00  ;-75.00
cg39         cg40            23.95   105.00   -14.40     0.00     0.00     0.00     0.00  ;-16.00

[491] W Czerwonych Kamieniach Hohle in Roten Steinen J1
SURVEY NAME: CIπG G≥ÛWNY POMIARY 1
SURVEY DATE: 8 1 2005  COMMENT:   dane wykomentowane do grad
SURVEY TEAM:

DECLINATION:     1.96  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

cg01         cg02            16.04    26.00   -54.90     0.00     0.00     0.00     0.00
cg02         cg03            18.37   126.00   -28.80     0.00     0.00     0.00     0.00  ;-32.00
cg03         cg04            25.85    68.00   -22.50     0.00     0.00     0.00     0.00  ;-25.00
cg04         cg05            31.63    82.00   -35.10     0.00     0.00     0.00     0.00  ;-39.00
cg05         cg06            11.81   180.00   -18.00     0.00     0.00     0.00     0.00  ;-20.00
cg06         cg07            54.63    88.00   -60.30     0.00     0.00     0.00     0.00  ;-67.00
cg07         cg08            28.71   110.00   -54.00     0.00     0.00     0.00     0.00  ;-60.00
cg08         cg09            54.79    95.00   -67.50     0.00     0.00     0.00     0.00  ;-75.00
cg09         cg10            10.27   186.00   -30.60     0.00     0.00     0.00     0.00  ;-34.00
cg10         cg11            51.77   150.00   -71.10     0.00     0.00     0.00     0.00  ;-79.00
cg11         cg12            15.85    85.00   -10.80     0.00     0.00     0.00     0.00  ;-12.00
cg12         cg13            23.20   130.00   -63.00     0.00     0.00     0.00     0.00  ;-70.00
cg13         cg14             9.84   105.00     3.60     0.00     0.00     0.00     0.00  ;4.00
cg14         cg15             9.32    55.00   -27.00     0.00     0.00     0.00     0.00  ;-30.00
cg15         cg16            32.15    70.00   -42.30     0.00     0.00     0.00     0.00  ;-47.00
cg16         cg17            15.75    55.00   -22.50     0.00     0.00     0.00     0.00  ;-25.00
cg17         cg18            17.22   105.00    -7.20     0.00     0.00     0.00     0.00  ;-8.00
cg18         cg19             3.94   115.00     0.90     0.00     0.00     0.00     0.00  ;1.00
cg19         cg20            16.57   230.00    -9.90     0.00     0.00     0.00     0.00  ;-11.00
cg20         cg21            24.38   135.00   -36.00     0.00     0.00     0.00     0.00  ;-40.00
cg21         cg22            56.76   130.00   -85.50     0.00     0.00     0.00     0.00  ;-95.00
cg22         cg23            28.54    75.00   -54.00     0.00     0.00     0.00     0.00  ;-60.00
cg23         cg24            32.02   130.00   -63.00     0.00     0.00     0.00     0.00  ;-70.00


