[495] Ciekawa Interessante Höhle
SURVEY NAME: 2018-08-12 - URODZINY 2
SURVEY DATE: 8 12 2018  COMMENT:   Jakub Pysz (Palm), Adam Wladzinski, Filip Filar
SURVEY TEAM:

DECLINATION:     3.55  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT
O:1.5        O:1.6           25.46    20.11   -61.89     0.00     0.00     0.00     0.00

[495] Ciekawa Interessante Höhle
SURVEY NAME: 2018-07-28 - NA DWA RAZY
SURVEY DATE: 7 28 2018  COMMENT:   Michal Humiennik (Palm), Konrad Chojnacki (DistoX2), Damin Maslakiewicz (Spray)
SURVEY TEAM:

DECLINATION:     3.55  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

R:1.44       S:1.8            0.00     0.00     0.00     0.00     0.00     0.00     0.00
R:1.45       S:1.9            0.00     0.00     0.00     0.00     0.00     0.00     0.00
R:1.47       S:1.3           10.79   206.28    -1.24     0.00     0.00     0.00     0.00  ;1.1
S:1.3        S:1.4           28.02     6.84    71.36     0.00     0.00     0.00     0.00
S:1.3        S:4.0            0.00     0.00     0.00     0.00     0.00     0.00     0.00
S:1.4        S:1.5           15.88   325.57    -3.92     0.00     0.00     0.00     0.00
S:1.5        S:1.6           10.89   320.03   -16.30     0.00     0.00     0.00     0.00
S:1.6        S:1.7            8.89    25.05   -38.37     0.00     0.00     0.00     0.00
S:1.7        S:1.8            8.20    39.59   -43.63     0.00     0.00     0.00     0.00
S:1.8        S:1.9           10.27   131.70    -8.11     0.00     0.00     0.00     0.00  ;powtorzone z zk

[495] Ciekawa Interessante Höhle
SURVEY NAME: 2018-07-26 - MEANDER STROPOWY
SURVEY DATE: 7 26 2018  COMMENT:   1.0
SURVEY TEAM:

DECLINATION:     3.54  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

T:1.24       P:1.2           10.93   195.25   -36.48     0.00     0.00     0.00     0.00
P:1.2        P:1.3           14.07    84.04   -62.89     0.00     0.00     0.00     0.00
P:1.3        P:1.4           20.21   162.86   -12.35     0.00     0.00     0.00     0.00
P:1.4        P:1.5            7.58   183.01    13.70     0.00     0.00     0.00     0.00
P:1.5        P:1.6            5.58   121.73    28.16     0.00     0.00     0.00     0.00
P:1.6        P:1.7           16.57   217.34    40.51     0.00     0.00     0.00     0.00
P:1.7        P:1.8           12.47   195.95   -13.19     0.00     0.00     0.00     0.00
P:1.8        P:1.9            8.14    90.00    60.61     0.00     0.00     0.00     0.00
P:1.9        P:1.10          10.99   171.31   -11.59     0.00     0.00     0.00     0.00
P:1.10       P:1.11           9.74   100.05   -18.85     0.00     0.00     0.00     0.00
P:1.11       P:1.12           9.12    55.97     2.82     0.00     0.00     0.00     0.00
P:1.12       P:1.13           9.91   347.89    54.65     0.00     0.00     0.00     0.00
P:1.13       P:1.14          32.38    21.35    80.19     0.00     0.00     0.00     0.00
P:1.14       P:1.15          10.47    40.76    11.57     0.00     0.00     0.00     0.00
P:1.15       P:1.16          18.60    76.85   -11.01     0.00     0.00     0.00     0.00
P:1.16       P:1.17          11.78     3.78    56.97     0.00     0.00     0.00     0.00
P:1.17       P:1.18          12.50    68.79    22.73     0.00     0.00     0.00     0.00
P:1.18       P:1.19          20.44   338.46    27.61     0.00     0.00     0.00     0.00
P:1.19       P:1.20          23.88    71.07    41.97     0.00     0.00     0.00     0.00
P:1.13       P:1.13.1        18.70     3.62   -20.54     0.00     0.00     0.00     0.00  ;domiar

[495] Ciekawa Interessante Höhle
SURVEY NAME: 2017-08-26 - PO³¹CZENIE
SURVEY DATE: 7 28 2016  COMMENT:   Mirek Kopertowski, Konrad Chojnacki
SURVEY TEAM:

DECLINATION:     3.28  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

U:1.0        V:1.6            0.00     0.00     0.00     0.00     0.00     0.00     0.00
U:1.1        V:1.7            0.00     0.00     0.00     0.00     0.00     0.00     0.00
W:1.22       V:0.0            0.00     0.00     0.00     0.00     0.00     0.00     0.00
W:1.23       V:1.0            0.00     0.00     0.00     0.00     0.00     0.00     0.00
V:0.0        V:1.0           19.42   188.41    19.91     0.00     0.00     0.00     0.00
