[479] Kasztanowa Kastanienhohle
SURVEY NAME: PETLA NAD DZIURAWYM KOMINEM
SURVEY DATE: 8 3 2003  COMMENT:   Marcin Kaniewski(book), Jaroslaw Jezusek(Instruments)
SURVEY TEAM:

DECLINATION:     1.76  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT
a5           a4              12.24   200.00    -7.00     0.00     0.00     0.00     0.00
a6           a5               4.20   146.00     9.00     0.00     0.00     0.00     0.00
a7           a6              12.34   222.00    -2.00     0.00     0.00     0.00     0.00
a8           a7              19.36   142.00    23.00     0.00     0.00     0.00     0.00
a9           a8              14.17   206.00   -26.00     0.00     0.00     0.00     0.00
a10          a9               6.86   242.00   -11.00     0.00     0.00     0.00     0.00
a11          a10             25.59   196.00     5.00     0.00     0.00     0.00     0.00
a12          a11             38.39   287.00    77.00     0.00     0.00     0.00     0.00
a13          a12              9.84   180.00     8.00     0.00     0.00     0.00     0.00
a14          a13             20.34   205.00     0.00     0.00     0.00     0.00     0.00
a15          a14              7.87   210.00    44.00     0.00     0.00     0.00     0.00
a16          a15              8.86   192.00     2.00     0.00     0.00     0.00     0.00
a17          a16              4.27   237.00    14.00     0.00     0.00     0.00     0.00
a18          a17             39.27     0.00    90.00     0.00     0.00     0.00     0.00
a19          a18             18.04   244.00    20.00     0.00     0.00     0.00     0.00
a20          a19             11.81   228.00    24.00     0.00     0.00     0.00     0.00
a21          a19             17.39    90.00     0.00     0.00     0.00     0.00     0.00
a22          a21             21.00   351.00     0.00     0.00     0.00     0.00     0.00

[479] Kasztanowa Kastanienhohle
SURVEY NAME: OD SALKI NA ROZDZIELU DO DNA NASTEPNEJ S
SURVEY DATE: 7 31 2003  COMMENT:   Marek Wierzbowski(book), Rafal Mateja(tape)
SURVEY TEAM:

DECLINATION:     1.76  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

b2           n1              19.42   357.00   -69.00     0.00     0.00     0.00     0.00
b3           b2              15.52   225.00   -19.00     0.00     0.00     0.00     0.00
b4           b3               9.48   312.00    -2.00     0.00     0.00     0.00     0.00
