[501] Kitzgrabenwasserschacht
SURVEY NAME: 2013-08-08 - DO DRUGIEGO SYFONU
SURVEY DATE: 8 8 2013  COMMENT:   Tomasz Olczak, Marcin Slowik, Karol Makowski
SURVEY TEAM:

DECLINATION:     2.90  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT
DECLINATION:     2.64  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

BF:0         BF:1            14.37    10.20   -42.20     0.00     0.00     0.00     0.00
BF:1         BF:2            24.38    47.90   -31.30     0.00     0.00     0.00     0.00
BF:2         BF:3            21.98   129.00   -59.90     0.00     0.00     0.00     0.00
BF:3         BF:4            11.94    94.80   -74.10     0.00     0.00     0.00     0.00
BF:4         BF:5             4.76    27.80   -79.40     0.00     0.00     0.00     0.00
BF:5         BF:6            27.82   156.30     2.20     0.00     0.00     0.00     0.00
BF:6         BF:7            12.17   173.20    18.70     0.00     0.00     0.00     0.00
BF:7         BF:8             7.74   144.60     2.90     0.00     0.00     0.00     0.00
BF:8         BF:9            40.26   125.20   -63.10     0.00     0.00     0.00     0.00
BF:9         BF:10           47.38    90.30   -73.50     0.00     0.00     0.00     0.00
BF:10        BF:11           27.95    66.90   -57.40     0.00     0.00     0.00     0.00
BF:11        BF:12           17.65    25.50   -11.50     0.00     0.00     0.00     0.00
BF:12        BF:13           39.11    68.50   -69.70     0.00     0.00     0.00     0.00
BF:13        BF:14           11.32   149.60   -19.80     0.00     0.00     0.00     0.00
BF:14        BF:15           31.00   121.20   -59.30     0.00     0.00     0.00     0.00
BF:15        BF:16           10.17    60.40   -24.80     0.00     0.00     0.00     0.00
BF:16        BF:17           36.84   107.00   -67.70     0.00     0.00     0.00     0.00
BF:17        BF:18           16.60   100.10   -59.80     0.00     0.00     0.00     0.00
BF:18        BF:19           18.04    49.10   -61.50     0.00     0.00     0.00     0.00
BF:19        BF:20            6.73   117.90   -40.00     0.00     0.00     0.00     0.00
BF:20        BF:20.1         12.43   339.00    -7.80     0.00     0.00     0.00     0.00
BF:20        BF:21           14.53   133.70   -52.20     0.00     0.00     0.00     0.00
BF:21        BF:22           15.52   103.60   -14.40     0.00     0.00     0.00     0.00
BF:22        BF:23            7.97   350.00     0.20     0.00     0.00     0.00     0.00


